Proveedor,Precio,Calidad,TiempoEntregaDias,CumplimientoHistorico,CertificacionISO,Ubicacion,Seleccionado
Apex Supply,12500,8.9,7,96,Si,Local,Si
Nova Parts,9800,7.6,12,88,No,Nacional,No
Sigma Industrial,11200,8.2,10,92,Si,Regional,Si
Delta Components,8700,7.1,14,84,No,Nacional,No
Orion Manufacturing,13400,9.1,6,97,Si,Local,Si
Andes Logistics,10200,8.0,11,90,Si,Regional,Si
Pacific Traders,9100,6.9,15,82,No,Internacional,No
Vertex Goods,11800,8.5,9,94,Si,Nacional,Si
Helix Distribuciones,8900,7.4,13,86,No,Regional,No
Prime Solutions,12900,8.8,8,95,Si,Local,Si
Tecno Suministros,9500,7.8,12,89,No,Nacional,No
Global Insumos,12100,8.4,9,93,Si,Internacional,Si
Eco Materials,8600,7.0,16,81,No,Regional,No
Altura Proveedores,11600,8.3,10,91,Si,Nacional,Si
Centra Market,9000,7.2,14,85,No,Local,No
Lumen Group,12700,8.7,7,96,Si,Regional,Si
Core Abastecimientos,9900,7.7,11,89,No,Nacional,No
Pioneer Chain,13300,9.0,6,98,Si,Local,Si
